,Wine_Index,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,name
2830,2830,white,6.6,0.22,0.34,11.6,0.05,59.0,140.0,0.99526,3.22,0.4,10.8,5,'Wé Ries Millaur Cray white-wine'
2831,2831,white,6.6,0.45,0.43,7.2,0.064,31.0,186.0,0.9954,3.12,0.44,9.4,5,'P'
2832,2832,white,6.6,0.17,0.3,1.1,0.031,13.0,73.0,0.99095,3.17,0.58,11.0,6,"""F'Trau 2021"""
2833,2833,white,7.2,0.44,0.28,3.4,0.048,22.0,112.0,0.99188,3.21,0.37,11.3,7,'VQA'
2834,2834,white,6.2,0.15,0.27,1.4,0.041,51.0,117.0,0.9909,3.28,0.38,11.2,6,'Ad Dèl Crublec Spyrtoco 2021'
2835,2835,white,6.3,0.25,0.22,3.3,0.048,41.0,161.0,0.99256,3.16,0.5,10.5,6,'Pürtafür 2022'
2836,2836,white,6.5,0.22,0.45,8.0,0.053,52.0,196.0,0.9959,3.23,0.48,9.1,6,'Roh Roservi Beccor Sagne-Perieus 2102'
2837,2837,white,7.3,0.26,0.3,9.3,0.05,35.0,154.0,0.99581,3.21,0.5,10.4,6,'QKQOXOr Altacoc Axtrili Blancsiano Belrerou Organic'
2838,2838,white,6.9,0.15,0.29,2.3,0.033,14.0,82.0,0.99132,3.1,0.58,11.2,7,'Cbrigione Ukela 2022'
2839,2839,white,5.8,0.22,0.29,0.9,0.034,34.0,89.0,0.98936,3.14,0.36,11.1,7,'R& Hiassing VQA'
2840,2840,white,6.5,0.37,0.33,3.5,0.036,23.0,92.0,0.99136,3.18,0.38,11.2,6,'PRaxer Lo Alingerazs Brut Brunte Lezobed 2022'
2841,2841,white,5.5,0.375,0.38,1.7,0.036,17.0,98.0,0.99142,3.29,0.39,10.5,6,'Anchen Perstice 2021'
2842,2842,white,5.9,0.2,0.4,1.3,0.047,23.0,92.0,0.99232,3.2,0.45,10.0,6,'Birsking'
2843,2843,white,5.9,0.22,0.38,1.3,0.046,24.0,90.0,0.99232,3.2,0.47,10.0,6,'M'
2844,2844,white,8.0,0.22,0.31,5.6,0.049,24.0,97.0,0.993,3.1,0.42,10.9,5,'DQAn Sass do Ber Reyraxe Mischard Chardonnay'
2845,2845,white,6.5,0.22,0.29,7.4,0.028,16.0,87.0,0.99311,3.15,0.56,10.9,7,'KêChe Rabelt Vinz'
2846,2846,white,6.9,0.15,0.29,2.3,0.033,14.0,82.0,0.99132,3.1,0.58,11.2,7,'Eds Gelfa Moscato Dra Rieslinge VQA'
2847,2847,white,5.8,0.2,0.34,1.0,0.035,40.0,86.0,0.98993,3.5,0.42,11.7,5,'X2222'
2848,2848,white,6.6,0.31,0.07,1.5,0.033,55.0,144.0,0.99208,3.16,0.42,10.0,5,'Dyuris Stuerdons Charkonnay 2020'
2849,2849,white,7.7,0.43,0.37,10.0,0.169,22.0,210.0,0.99776,3.02,0.64,9.5,5,'Ly Brutette Priellier 2020'
2850,2850,white,6.7,0.24,0.29,14.9,0.053,55.0,136.0,0.99839,3.03,0.52,9.0,5,'Ktex Chardonnay 2022'
2851,2851,white,7.3,0.23,0.34,9.3,0.052,19.0,86.0,0.99574,3.04,0.56,10.0,5,'H8fiel Reneslis 2021'
2852,2852,white,7.9,0.2,0.39,1.0,0.041,37.0,154.0,0.99093,3.08,0.43,11.9,5,'Avt Riesling Grandi Dex Cruminny Try Bearde Esteray'
2853,2853,white,5.3,0.16,0.39,1.0,0.028,40.0,101.0,0.99156,3.57,0.59,10.6,6,'Küllat 2019'
2854,2854,white,6.4,0.21,0.28,5.9,0.047,29.0,101.0,0.99278,3.15,0.4,11.0,6,'QÉDt'
2855,2855,white,6.9,0.33,0.26,5.0,0.027,46.0,143.0,0.9924,3.25,0.43,11.2,7,'Côtussidio 4O-Drél Pevien EcPros Brut Sp'
2856,2856,white,5.6,0.18,0.58,1.25,0.034,29.0,129.0,0.98984,3.51,0.6,12.0,7,'Lés ou Cha de Vineyares 2020'
2857,2857,white,6.6,0.29,0.31,3.9,0.027,39.0,96.0,0.99035,3.24,0.6,12.6,8,'JLante-winserine Blanc 2020'
2858,2858,white,6.9,0.33,0.26,5.0,0.027,46.0,143.0,0.9924,3.25,0.43,11.2,7,'Udment white-wine 2018'
2859,2859,white,6.6,0.21,0.36,0.8,0.034,48.0,113.0,0.99165,3.24,0.68,10.5,6,'Crustive Krigan'
2860,2860,white,7.3,0.21,0.33,1.0,0.037,66.0,144.0,0.9923,3.11,0.52,10.2,6,'EWhite Blanc'
2861,2861,white,6.4,0.21,0.28,5.9,0.047,29.0,101.0,0.99278,3.15,0.4,11.0,6,'LYG 2021'
2862,2862,white,5.1,0.11,0.32,1.6,0.028,12.0,90.0,0.99008,3.57,0.52,12.2,6,'Jöîññb Merrure 2017'
2863,2863,white,6.5,0.15,0.32,1.3,0.036,19.0,76.0,0.98964,3.18,0.41,12.3,6,'Ex-Chürdonniy 2018'
2864,2864,white,5.3,0.16,0.39,1.0,0.028,40.0,101.0,0.99156,3.57,0.59,10.6,6,'OTx-Mocs Cru 2022'
2865,2865,white,5.6,0.19,0.46,1.1,0.032,33.0,115.0,0.9909,3.36,0.5,10.4,6,'Bwirdonnay'
2866,2866,white,5.6,0.18,0.58,1.25,0.034,29.0,129.0,0.98984,3.51,0.6,12.0,7,'FPiney Vineyards'
2867,2867,white,6.7,0.48,0.32,1.4,0.021,22.0,121.0,0.9889,3.15,0.53,12.7,7,'U°s Kyinall Bert-Timaini Sumingo'
2868,2868,white,6.2,0.23,0.23,1.2,0.018,18.0,128.0,0.99178,3.05,0.28,10.6,5,'Oèôct Pino GiCle Cauragon Fuc 2021'
2869,2869,white,6.0,0.17,0.29,5.0,0.028,25.0,108.0,0.99076,3.14,0.34,12.3,6,'C17'
2870,2870,white,6.7,0.48,0.32,1.4,0.021,22.0,121.0,0.9889,3.15,0.53,12.7,7,'Sde Chardonnay 2020'
2871,2871,white,6.7,0.15,0.38,1.7,0.037,20.0,84.0,0.99046,3.09,0.53,11.4,6,'IXì/Sergere Des Grimiou Blancs 2016'
2872,2872,white,4.2,0.17,0.36,1.8,0.029,93.0,161.0,0.98999,3.65,0.89,12.0,7,'Dur 2018'
2873,2873,white,5.8,0.21,0.32,1.6,0.045,38.0,95.0,0.98946,3.23,0.94,12.4,8,'Q0*5'
2874,2874,white,5.4,0.23,0.36,1.5,0.03,74.0,121.0,0.98976,3.24,0.99,12.1,7,'Hères Ruefliggen-Lighian Clasci Pinot Griggo Varner'
2875,2875,white,6.7,0.15,0.38,1.7,0.037,20.0,84.0,0.99046,3.09,0.53,11.4,6,'Oáña Vibpar Vttrano 2019'
2876,2876,white,6.4,0.22,0.31,13.9,0.04,57.0,135.0,0.99672,3.21,0.38,10.7,5,'T!akli Rieelin Orangi 2021'
2877,2877,white,6.5,0.15,0.55,5.9,0.045,75.0,162.0,0.99482,2.97,0.4,9.3,5,'NVe'
2878,2878,white,5.9,0.32,0.33,2.1,0.027,35.0,138.0,0.98945,3.37,0.42,12.7,6,'XA 2020'
2879,2879,white,5.7,0.37,0.3,1.1,0.029,24.0,88.0,0.98883,3.18,0.39,11.7,6,'Bllicis Grand Brut Jo Vignos Boun Sauvignon Blan 20'
2880,2880,white,7.9,0.25,0.35,6.7,0.039,22.0,64.0,0.99362,2.93,0.49,10.7,5,'Nontere Colos Grvignon Cles de Chardonnay 2017'
2881,2881,white,7.2,0.21,0.28,2.7,0.033,38.0,94.0,0.99075,2.99,0.43,11.8,7,'Am Dom wine 2001'
2882,2882,white,7.0,0.24,0.3,6.7,0.039,37.0,125.0,0.99436,3.2,0.39,9.9,5,'Ege Scastine Bewnesy G Cavi Blanc 22226'
2883,2883,white,6.8,0.475,0.33,3.95,0.047,16.0,81.0,0.98988,3.23,0.53,13.4,7,'Telli Vionessess Mubaronon Nolich Wine Venilsérin B'
2884,2884,white,7.0,0.28,0.32,7.75,0.032,30.0,114.0,0.99158,3.12,0.64,12.8,7,'NManzos Dry Rieplingron Bean Nezker Sauvignon Blanc'
2885,2885,white,6.9,0.4,0.3,10.6,0.033,24.0,87.0,0.99265,3.15,0.45,12.8,6,'Qänte Chardonnay VQA'
2886,2886,white,6.6,0.41,0.31,1.6,0.042,18.0,101.0,0.99195,3.13,0.41,10.5,5,'O0A'
2887,2887,white,6.4,0.2,0.28,2.5,0.032,24.0,84.0,0.99168,3.31,0.55,11.5,5,'Eklle 2014'
2888,2888,white,8.5,0.22,0.34,0.7,0.04,5.0,25.0,0.9918,3.04,0.37,10.5,4,'Clly SRVarinine'
2889,2889,white,8.4,0.36,0.36,11.1,0.032,21.0,132.0,0.99313,2.95,0.39,13.0,6,'Dyet AlisWinit Sauvignin Blanc VQA'
2890,2890,white,5.2,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34,12.4,8,'K° Innosti Chardonnay 2P20'
2891,2891,white,6.9,0.2,0.3,4.7,0.041,40.0,148.0,0.9932,3.16,0.35,10.2,6,'YÉls Chardonnay 2020'
2892,2892,white,6.7,0.42,0.46,9.7,0.054,67.0,234.0,0.99848,3.23,0.5,9.0,5,'POros Naschars 2021'
2893,2893,white,6.2,0.16,0.34,1.7,0.038,85.0,153.0,0.9909,3.33,0.86,12.0,7,'MP019'
2894,2894,white,6.4,0.125,0.36,1.4,0.044,22.0,68.0,0.99014,3.15,0.5,11.7,7,'MM'
2895,2895,white,6.4,0.44,0.26,2.0,0.054,20.0,180.0,0.9952,3.58,0.57,10.0,5,"'Y, Bran Pinot dis Rhere Peliserte 2021'"
2896,2896,white,7.0,0.31,0.39,7.5,0.055,42.0,218.0,0.99652,3.37,0.54,10.3,5,'Zvent Veenrque We Im Whiee 2022'
2897,2897,white,6.7,0.42,0.46,9.7,0.054,67.0,234.0,0.99848,3.23,0.5,9.0,5,'Wevien Blanc VQA'
2898,2898,white,8.6,0.18,0.28,0.8,0.032,25.0,78.0,0.99104,2.99,0.38,11.1,5,'Burm Riesling VQA'
2899,2899,white,6.2,0.21,0.26,13.1,0.05,59.0,150.0,0.99772,3.31,0.46,9.0,5,"""Kí& Lasienne Luaf'ss Riesonnay 2026"""
2900,2900,white,6.1,0.16,0.37,1.1,0.031,37.0,97.0,0.9922,3.4,0.58,10.5,6,'Wosser 2022'
2901,2901,white,6.5,0.22,0.32,2.2,0.028,36.0,92.0,0.99076,3.27,0.59,11.9,7,'TîBrition Clas Gragig'
2902,2902,white,6.2,0.36,0.14,8.9,0.036,38.0,155.0,0.99622,3.27,0.5,9.4,5,'QA! Puissero Chardongay 2019'
2903,2903,white,5.7,0.21,0.25,1.1,0.035,26.0,81.0,0.9902,3.31,0.52,11.4,6,'CEd Trigis ãh Boutc White 2021'
2904,2904,white,6.4,0.25,0.32,0.9,0.034,40.0,114.0,0.99114,3.31,0.58,10.8,7,'Frawnes Suandot Chardonnay 2021'
2905,2905,white,7.6,0.31,0.26,1.7,0.073,40.0,157.0,0.9938,3.1,0.46,9.8,5,'On Blanc 2021'
2906,2906,white,6.6,0.26,0.46,6.9,0.047,59.0,183.0,0.99594,3.2,0.45,9.3,5,"'Loá, Pulle-ué Vineyars Chardonnay 2013'"
2907,2907,white,5.7,0.21,0.25,1.1,0.035,26.0,81.0,0.9902,3.31,0.52,11.4,6,'Côte Riesling 2019'
2908,2908,white,6.2,0.2,0.31,1.0,0.031,22.0,73.0,0.99035,3.24,0.52,11.3,6,'Veex Vineyard Co de Jonon 2021'
2909,2909,white,6.2,0.18,0.3,1.0,0.031,23.0,73.0,0.99032,3.23,0.52,11.3,6,'Ny'
2910,2910,white,6.1,0.37,0.2,7.6,0.031,49.0,170.0,0.99558,3.22,0.48,9.5,5,'Le Charzonnay de Gring Châte-wine Vineyard 2022'
2911,2911,white,6.2,0.36,0.14,8.9,0.036,38.0,155.0,0.99622,3.27,0.5,9.4,5,'Exf Môessing Vaudlerve 10'
2912,2912,white,6.5,0.22,0.32,2.2,0.028,36.0,92.0,0.99076,3.27,0.59,11.9,7,'YÉàã& Temper de Réevite Pinoya Mas Cland Coure Sepr'
2913,2913,white,7.7,0.18,0.3,1.2,0.046,49.0,199.0,0.99413,3.03,0.38,9.3,5,'QOd Riesling LuIs Selzhors Cuvée Spyretion Gewüdo 2'
2914,2914,white,6.9,0.14,0.38,1.0,0.041,22.0,81.0,0.99043,3.03,0.54,11.4,6,'VQO'
2915,2915,white,6.9,0.14,0.38,1.0,0.041,22.0,81.0,0.99043,3.03,0.54,11.4,6,'Blry Morolad Org Dianie Crves Sauvignon Blanc VQA'
2916,2916,white,6.0,0.44,0.26,3.1,0.053,57.0,128.0,0.98982,3.22,0.39,12.7,6,'G021'
2917,2917,white,7.1,0.36,0.4,1.95,0.033,26.0,118.0,0.98934,3.2,0.45,13.5,7,'Pten-Lellau Sparkling Arsico'
2918,2918,white,5.7,0.28,0.28,2.2,0.019,15.0,65.0,0.9902,3.06,0.52,11.2,6,'Yda de Jalin Dim Riesling 2013'
2919,2919,white,6.4,0.16,0.32,8.75,0.038,38.0,118.0,0.99449,3.19,0.41,10.7,5,'Hmazle Halmagno Brangt Wiestíe Wiond 1igrazit Whitr'
2920,2920,white,7.4,0.28,0.4,11.9,0.032,13.0,92.0,0.99629,3.01,0.46,10.8,4,'Exh Werily Gordige VQA'
2921,2921,white,6.7,0.39,0.31,2.7,0.054,27.0,202.0,0.9948,3.46,0.57,10.5,6,'KD(ExPalzie Fru'
2922,2922,white,6.5,0.44,0.47,5.45,0.014,44.0,137.0,0.98984,3.13,0.32,13.0,8,'Ginge '
2923,2923,white,6.9,0.22,0.31,6.3,0.029,41.0,131.0,0.99326,3.08,0.49,10.8,6,'JO6 Pertoñ Blan 2022'
2924,2924,white,6.6,0.22,0.29,14.4,0.046,39.0,118.0,0.99834,3.05,0.5,9.1,6,'Dos Marardonne Merrall Santiaut DeC VQA'
2925,2925,white,7.7,0.25,0.3,7.8,0.038,67.0,196.0,0.99555,3.1,0.5,10.1,5,'CShet Trigs Chardonnay 2021'
2926,2926,white,5.2,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,11.9,8,'Zillerg Sauvagnan 2019'
2927,2927,white,7.0,0.31,0.31,9.1,0.036,45.0,140.0,0.99216,2.98,0.31,12.0,7,'U019'
2928,2928,white,7.0,0.31,0.31,9.1,0.036,45.0,140.0,0.99216,2.98,0.31,12.0,7,'NSÉmlino'
2929,2929,white,6.6,0.22,0.29,14.4,0.046,39.0,118.0,0.99834,3.05,0.5,9.1,6,'Rée Speroniac'
2930,2930,white,5.6,0.21,0.4,1.3,0.041,81.0,147.0,0.9901,3.22,0.95,11.6,8,"""Trünina Mocqult Pend'Viut 2021"""
2931,2931,white,5.2,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,11.9,8,'Lo Jes Scurasier Artyger Vousling 2020'
2932,2932,white,6.4,0.25,0.32,11.3,0.038,69.0,192.0,0.99573,3.14,0.5,10.2,6,'XàBrut Bux Chardonnay 2020'
2933,2933,white,6.9,0.22,0.31,6.3,0.029,41.0,131.0,0.99326,3.08,0.49,10.8,6,'Sdeg Widstin Bepara Edta Bauvion Blanc'
2934,2934,white,5.3,0.21,0.29,0.7,0.028,11.0,66.0,0.99215,3.3,0.4,9.8,5,'Es-Méino Axpra Dim Lachati BlancRosse Whiet-winet V'
2935,2935,white,7.1,0.27,0.28,1.25,0.023,3.0,89.0,0.98993,2.95,0.3,11.4,4,'ZBly 2022'
2936,2936,white,5.2,0.17,0.27,0.7,0.03,11.0,68.0,0.99218,3.3,0.41,9.8,5,'Ylandeir Reuxarve Châteaux Vherdener Rosé Crumanteg'
2937,2937,white,7.7,0.25,0.3,7.8,0.038,67.0,196.0,0.99555,3.1,0.5,10.1,5,'TIuvian Le Fraux 2019'
2938,2938,white,7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,8,'Fá Chardonnay 2020'
2939,2939,white,7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,8,'Yqunt Ex 2016'
2940,2940,white,7.1,0.29,0.34,7.8,0.036,49.0,128.0,0.99397,3.21,0.4,10.7,6,'Wöpertinu'
2941,2941,white,7.2,0.3,0.3,8.7,0.022,14.0,111.0,0.99576,3.11,0.61,10.6,5,'Qmign Blanc 2020'
2942,2942,white,6.8,0.26,0.46,8.3,0.037,49.0,173.0,0.99601,3.17,0.47,9.3,5,'D5-êitime Pane Viesling 2020'
2943,2943,white,7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,8,'KVQ7'
2944,2944,white,7.1,0.29,0.34,7.8,0.036,49.0,128.0,0.99397,3.21,0.4,10.7,6,'Blate Villy-2019'
2945,2945,white,4.9,0.33,0.31,1.2,0.016,39.0,150.0,0.98713,3.33,0.59,14.0,8,'Unnay Kepinty CP20'
2946,2946,white,5.1,0.29,0.28,8.3,0.026,27.0,107.0,0.99308,3.36,0.37,11.0,6,'A189'
2947,2947,white,5.1,0.29,0.28,8.3,0.026,27.0,107.0,0.99308,3.36,0.37,11.0,6,'X& Fevi Sparçer-Mearet Cové Sauvignon 2020'
2948,2948,white,6.8,0.26,0.48,6.2,0.049,55.0,182.0,0.99582,3.21,0.45,9.4,6,'Anny Rousling 2016'
2949,2949,white,6.0,0.28,0.52,5.0,0.078,30.0,139.0,0.99494,3.1,0.36,9.0,6,'Af'
2950,2950,white,6.0,0.28,0.25,1.8,0.042,8.0,108.0,0.9929,3.08,0.55,9.0,5,'Bäck Ttitiau Cuellis Sauviggot Grandi Cuvée IP17'
2951,2951,white,7.2,0.2,0.22,1.6,0.044,17.0,101.0,0.99471,3.37,0.53,10.0,5,'By'
2952,2952,white,6.1,0.27,0.25,1.8,0.041,9.0,109.0,0.9929,3.08,0.54,9.0,5,'L Laence Class de Mording di Reilis Ben Sauvignon A'
2953,2953,white,6.0,0.28,0.25,1.8,0.042,8.0,108.0,0.9929,3.08,0.55,9.0,5,'MBrange Dre Wai-Sentier 20222'
2954,2954,white,6.4,0.29,0.3,2.9,0.036,25.0,79.0,0.99037,3.29,0.6,12.4,7,'Ixx719'
2955,2955,white,7.4,0.35,0.24,6.0,0.042,28.0,123.0,0.99304,3.14,0.44,11.3,5,'Dk Scillis Oraraini 2022'
2956,2956,white,8.1,0.12,0.38,0.9,0.034,36.0,86.0,0.99026,2.8,0.55,12.0,6,'YGBlat 2020'
2957,2957,white,6.4,0.12,0.3,1.1,0.031,37.0,94.0,0.98986,3.01,0.56,11.7,6,'PLo Chardonnayf Whine 2022'
2958,2958,white,7.2,0.2,0.22,1.6,0.044,17.0,101.0,0.99471,3.37,0.53,10.0,5,'CRolignes Sparkling Roserd Avente a Winst Pentray-D'
2959,2959,white,7.3,0.4,0.26,5.45,0.016,26.0,90.0,0.98951,2.84,0.54,13.2,7,'Fôny 20219'
2960,2960,white,7.7,0.11,0.34,14.05,0.04,41.0,114.0,0.99634,3.07,0.59,11.0,7,'Bedt Risella VQA'
2961,2961,white,6.9,0.23,0.41,8.0,0.03,30.0,114.0,0.99368,3.22,0.54,11.0,6,'Madin White wilel white'
2962,2962,white,6.9,0.38,0.38,13.1,0.112,14.0,94.0,0.99792,3.02,0.48,9.2,5,'Zhel Reeds Brut Reserve Caxtraminiray'
2963,2963,white,7.5,0.38,0.29,4.9,0.021,38.0,113.0,0.99026,3.08,0.48,13.0,7,'J#0928'
2964,2964,white,5.8,0.19,0.24,1.3,0.044,38.0,128.0,0.99362,3.77,0.6,10.6,5,'Espi O Prive Brutg 2021'
2965,2965,white,5.5,0.34,0.26,2.2,0.021,31.0,119.0,0.98919,3.55,0.49,13.0,8,'GEZVQP'
2966,2966,white,6.6,0.23,0.3,14.9,0.051,33.0,118.0,0.99835,3.04,0.54,9.0,6,'Cu Sperkling OOg'
2967,2967,white,6.6,0.23,0.3,14.9,0.051,33.0,118.0,0.99835,3.04,0.54,9.0,6,'Cchelin Yeun Venthardonnay 2020'
2968,2968,white,8.4,0.31,0.31,0.95,0.021,52.0,148.0,0.99038,2.93,0.32,11.5,5,'X71'
2969,2969,white,6.7,0.2,0.3,1.4,0.025,17.0,76.0,0.99104,3.11,0.44,11.0,6,'Uxregnay Blanc/2022'
2970,2970,white,8.4,0.31,0.31,0.95,0.021,52.0,148.0,0.99038,2.93,0.32,11.5,5,'Rduston Vionecces Vigaline 2020'
2971,2971,white,7.3,0.26,0.24,1.7,0.05,10.0,112.0,0.99286,3.11,0.43,9.9,5,'Garniny 2018'
2972,2972,white,6.3,0.22,0.22,5.6,0.039,31.0,128.0,0.99296,3.12,0.46,10.4,6,'SCpo Do Brut-whitewio DOc 2022'
2973,2973,white,6.6,0.23,0.3,14.9,0.051,33.0,118.0,0.99835,3.04,0.54,9.0,6,'Pig'
2974,2974,white,7.5,0.19,0.4,7.1,0.056,50.0,110.0,0.9954,3.06,0.52,9.9,6,'Masbra 2022'
2975,2975,white,8.0,0.14,0.33,1.2,0.045,71.0,162.0,0.9914,3.07,0.47,11.0,6,'ZEx-Leule Brutpo Siavignon Blanc'
2976,2976,white,6.8,0.32,0.39,9.6,0.026,34.0,124.0,0.99286,3.18,0.35,12.1,6,'DUvlasfinot Vis Cava Chardunnay 2021'
2977,2977,white,6.6,0.23,0.2,11.4,0.044,45.0,131.0,0.99604,2.96,0.51,9.7,6,'Q19'
2978,2978,white,6.6,0.23,0.2,11.4,0.044,45.0,131.0,0.99604,2.96,0.51,9.7,6,'ZSwhidop Gring VQA'
2979,2979,white,6.7,0.36,0.26,7.9,0.034,39.0,123.0,0.99119,2.99,0.3,12.2,7,'XSCklen-Miscanta 2019'
2980,2980,white,6.1,0.38,0.42,5.0,0.016,31.0,113.0,0.99007,3.15,0.31,12.4,7,'Cporgina'
2981,2981,white,8.5,0.23,0.28,11.1,0.033,30.0,97.0,0.99507,3.03,0.39,10.5,7,'SÉvvemin Blanc 2022'
2982,2982,white,7.0,0.2,0.31,8.0,0.05,29.0,213.0,0.99596,3.28,0.57,10.4,6,'HVwhé 1ermanis Cusc 2021'
2983,2983,white,6.0,0.26,0.32,3.8,0.029,48.0,180.0,0.99011,3.15,0.34,12.0,6,'V17'
2984,2984,white,6.9,0.3,0.3,10.55,0.037,4.0,28.0,0.99184,3.07,0.32,12.7,6,'MXWhitton Gringo Deur Chordes Britesed Seuvregnen V'
2985,2985,white,6.7,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,3.11,0.45,10.9,7,'Monsziga Chardonnayc'
2986,2986,white,6.7,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,3.11,0.45,10.9,7,'Réaja 2019'
2987,2987,white,6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,7,'Ol White Pinot Grigio Alcconis Grignos Grotkain VQA'
2988,2988,white,7.2,0.19,0.31,6.3,0.034,17.0,103.0,0.99305,3.15,0.52,11.4,7,'Müry Croseco 2021'
2989,2989,white,6.2,0.16,0.32,1.1,0.036,74.0,184.0,0.99096,3.22,0.41,11.0,6,"""KMgn's Grarne VQA"""
2990,2990,white,5.0,0.27,0.32,4.5,0.032,58.0,178.0,0.98956,3.45,0.31,12.6,7,'Côebling VQ1'
2991,2991,white,6.3,0.37,0.28,6.3,0.034,45.0,152.0,0.9921,3.29,0.46,11.6,7,'EdOClit/Seneicles Gragd Quletaulad Di Crusent Brut '
2992,2992,white,6.6,0.2,0.27,10.9,0.038,29.0,130.0,0.99496,3.11,0.44,10.5,7,'Bral 2021'
2993,2993,white,6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,7,'P13'
2994,2994,white,6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,7,'GPrut Mactriner 2021'
2995,2995,white,6.6,0.28,0.34,0.8,0.037,42.0,119.0,0.9888,3.03,0.37,12.5,6,'Unnay 2008'
2996,2996,white,6.5,0.35,0.36,0.8,0.034,32.0,111.0,0.98942,3.11,0.5,12.1,8,'QT'
2997,2997,white,6.9,0.25,0.33,1.2,0.035,35.0,158.0,0.99082,3.02,0.58,11.3,6,'D'
2998,2998,white,6.0,0.32,0.3,1.3,0.025,18.0,112.0,0.98802,3.07,0.64,13.3,7,'A#)'
2999,2999,white,6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,7,'Féch Chardonnay 2021'
3000,3000,white,6.7,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,3.11,0.45,10.9,7,'Ny'
3001,3001,white,6.6,0.2,0.27,10.9,0.038,29.0,130.0,0.99496,3.11,0.44,10.5,7,'Hines Baples Sère Vild Forongign Blonc 2022'
3002,3002,white,6.3,0.37,0.28,6.3,0.034,45.0,152.0,0.9921,3.29,0.46,11.6,7,'De'
3003,3003,white,7.2,0.19,0.31,6.3,0.034,17.0,103.0,0.99305,3.15,0.52,11.4,7,'HKbromfoner Crasecc'
3004,3004,white,6.3,0.18,0.36,1.2,0.034,26.0,111.0,0.99074,3.16,0.51,11.0,6,'PTha Proochico 2021'
3005,3005,white,6.9,0.3,0.36,0.9,0.037,40.0,156.0,0.98968,3.08,0.36,12.1,6,'Cçomé'
3006,3006,white,6.2,0.16,0.32,1.1,0.036,74.0,184.0,0.99096,3.22,0.41,11.0,6,'NQA'
3007,3007,white,5.0,0.27,0.32,4.5,0.032,58.0,178.0,0.98956,3.45,0.31,12.6,7,'Unney Blanc 2019'
3008,3008,white,5.0,0.3,0.33,3.7,0.03,54.0,173.0,0.9887,3.36,0.3,13.0,7,'ICleet Troën CaNoalt Cislive Verieryaus-dux Pinot G'
3009,3009,white,6.5,0.2,0.5,18.1,0.054,50.0,221.0,0.99941,2.94,0.64,8.8,6,'Bonur Bianco IGS8'
3010,3010,white,6.7,0.25,0.31,1.35,0.061,30.5,218.0,0.99388,3.16,0.53,9.5,5,'Neres des Calhé Drüdio'
3011,3011,white,6.6,0.22,0.36,5.5,0.029,30.0,105.0,0.99206,3.2,0.47,11.8,6,'VQ19'
3012,3012,white,6.8,0.25,0.37,3.1,0.026,29.0,93.0,0.99035,3.14,0.45,12.2,6,'Nñan VQAs'
3013,3013,white,7.0,0.13,0.37,12.85,0.042,36.0,105.0,0.99581,3.05,0.55,10.7,6,'RÖîYC20'
3014,3014,white,7.0,0.45,0.34,19.8,0.04,12.0,67.0,0.9976,3.07,0.38,11.0,6,'KÉ(ÁBlyh Spurzerrs'
3015,3015,white,7.2,0.32,0.3,8.25,0.02,14.0,104.0,0.99362,2.99,0.44,11.4,6,'Smeen Capaidi Calozsese 2020'
3016,3016,white,7.0,0.13,0.37,12.85,0.042,36.0,105.0,0.99581,3.05,0.55,10.7,6,'G& Thins Roud Sanvigeron'
3017,3017,white,5.9,0.34,0.3,3.8,0.035,57.0,135.0,0.99016,3.09,0.34,12.0,6,'L-Féurgh Tôtet Aldy Grigoot 2021'
3018,3018,white,6.8,0.22,0.31,6.9,0.037,33.0,121.0,0.99176,3.02,0.39,11.9,8,'BancVe Brutique Blanc 2022'
3019,3019,white,7.2,0.32,0.3,8.25,0.02,14.0,104.0,0.99362,2.99,0.44,11.4,6,'Dgr Jesean Chardonnay Vioseill Cru 2019'
3020,3020,white,8.4,0.32,0.35,11.7,0.029,3.0,46.0,0.99439,3.02,0.34,11.8,6,'Nê-Frand Kecrone Brut Rodé VQA'
3021,3021,white,6.8,0.27,0.29,4.6,0.046,6.0,88.0,0.99458,3.34,0.48,10.6,4,'JKSASXA2'
3022,3022,white,8.0,0.74,0.21,4.0,0.05,24.0,133.0,0.99418,3.06,0.38,9.7,5,'D44837097'
